"variables","X.IncMSE","X.IncMSE.pval","IncNodePurity","IncNodePurity.pval","myco"
"Glacier",30.5459596975655,0.0001999600079984,27.7788724820023,0.0001999600079984,"AM"
"lg_n",20.2664632899103,0.0001999600079984,25.021326200022,0.880623875224955,"AM"
"lg_p",20.8937946988838,0.0001999600079984,31.4709666453386,1,"AM"
"meanT",28.0367831365956,0.0001999600079984,31.1971860712732,1,"AM"
"ndvi.l",37.4888476629231,0.0001999600079984,54.0115821059243,0.0001999600079984,"AM"
"ph",16.804928059082,0.0027994401119776,24.8417454932656,1,"AM"
"sper.q1.l",39.3536972500499,0.0001999600079984,69.4071228685359,0.0001999600079984,"AM"
"time.log",31.3701776967719,0.0001999600079984,41.7566423075777,0.0001999600079984,"AM"
"twi.l",11.5331961349869,0.0115976804639072,24.5409772310759,1,"AM"
"Glacier",31.1137009521367,0.0001999600079984,18.304866872162,0.0001999600079984,"EcM"
"lg_n",13.8448497941606,0.0755848830233953,9.97939039163255,1,"EcM"
"lg_p",20.1554958002274,0.001999600079984,16.2213335520907,1,"EcM"
"meanT",36.3517312508524,0.0001999600079984,21.2053083942528,0.00719856028794241,"EcM"
"ndvi.l",42.4091546355771,0.0001999600079984,32.5442755266861,0.0001999600079984,"EcM"
"ph",21.3998092230449,0.000399920015996801,14.7890584506129,1,"EcM"
"sper.q1.l",15.8018385859317,0.0017996400719856,10.93367997547,0.96880623875225,"EcM"
"time.log",30.9516135913635,0.0001999600079984,19.2544516822625,0.0001999600079984,"EcM"
"twi.l",17.1361312330581,0.0001999600079984,14.0255822857919,1,"EcM"
