"glacier","AM.reg","EcM.reg"
"Adigine",0.074861042201519,0.91587907075882
"Agola",0.0413243174552917,0.958452045917511
"Amola",0.0413243174552917,0.958452045917511
"Antisana 12",0.827124774456024,0.0714210271835327
"Antisana 15",0.827124774456024,0.0714210271835327
"Bara Shigri",0.0351311713457108,0.963790655136108
"Broggi",0.407792508602142,0.446415781974792
"Carihuairazo",0.821683526039124,0.0627021193504333
"Charquini",0.386139810085297,0.449429214000702
"Cipreses",0.335278809070587,0.634722650051117
"Dammagletscher",0.0566033385694027,0.932671129703522
"Exploradores",0.531144499778748,0.478466361761093
"Ferdinandbreen",0.182468011975288,0.814660429954529
"Fláajökull",0.179994091391563,0.805679321289062
"Forni",0.0413243174552917,0.958452045917511
"Franz Joseph",0.84441202878952,0.140385836362839
"Gangotri",0.238705769181252,0.703974664211273
"Glacier Blanc-Noir",0.106266774237156,0.898155152797699
"Glacier d'Estellette",0.0872063785791397,0.912324726581573
"Glacier de Gébroulaz",0.0872063785791397,0.912324726581573
"Glacier de Nantillons",0.0872063785791397,0.912324726581573
"Glacier des Pélerins",0.0872063785791397,0.912324726581573
"Gongga",0.161754176020622,0.79164046049118
"Grande di Verra",0.0571535415947437,0.940184712409973
"Lobuche",0.321650564670563,0.665386140346527
"Maladeta",0.0926048457622528,0.890296280384064
"Midtdalsbreen",0.0535338185727596,0.949808597564697
"Midtre Lovénbreen",0.178248301148415,0.826560437679291
"Morteratsch",0.064979113638401,0.933680295944214
"Odenwinkelkees",0.0412498973309994,0.959382593631744
"Pasquale",0.0413243174552917,0.958452045917511
"Pico de Orizaba",0.470069885253906,0.374065518379211
"Platabreen",0.179394826292992,0.81767326593399
"Rotmoosferner",0.0512384884059429,0.949337124824524
"Rutor",0.0872063785791397,0.912324726581573
"San Lorenzo",0.232704997062683,0.737980902194977
"Santa Isabel",0.888994216918945,0.0277553591877222
"Sforzellina",0.0413243174552917,0.958452045917511
"Sólheimajökull",0.188211426138878,0.80748051404953
"Sorapiss Centrale",0.0498602092266083,0.952242493629456
"Steindalsbreen",0.0541225373744965,0.951349914073944
"Tiedemann",0.0158746652305126,0.974394798278809
"Trobio",0.0413243174552917,0.958452045917511
"Uruashraju",0.407792508602142,0.446415781974792
"Yanamarey",0.407792508602142,0.446415781974792
"Zongo",0.386139810085297,0.449429214000702
